Date,ble
01/01/2003,110.75
01/02/2003,108
01/03/2003,110.75
01/04/2003,113
01/05/2003,110
01/06/2003,114
01/07/2003,121
01/08/2003,133
01/09/2003,137
01/10/2003,149
01/11/2003,162
01/12/2003,153.5
01/01/2004,157
01/02/2004,153
01/03/2004,155.5
01/04/2004,155
01/05/2004,125
01/06/2004,121
01/07/2004,110.25
01/08/2004,111.75
01/09/2004,108.5
01/10/2004,108.5
01/11/2004,107.5
01/12/2004,106
01/01/2005,107.25
01/02/2005,109
01/03/2005,104.25
01/04/2005,101.5
01/05/2005,106
01/06/2005,103.75
01/07/2005,105.25
01/08/2005,105.75
01/09/2005,108.25
01/10/2005,109.25
01/11/2005,110
01/12/2005,109
01/01/2006,111.75
01/02/2006,111.5
01/03/2006,110
01/04/2006,114
01/05/2006,114.5
01/06/2006,112
01/07/2006,120.5
01/08/2006,139.5
01/09/2006,147.5
01/10/2006,156
01/11/2006,150.75
01/12/2006,151
01/01/2007,148
01/02/2007,152.5
01/03/2007,148.5
01/04/2007,161.25
01/05/2007,157
01/06/2007,184.5
01/07/2007,200.5
01/08/2007,256.25
01/09/2007,268.25
01/10/2007,232
01/11/2007,250
01/12/2007,251
01/01/2008,244.5
01/02/2008,284
01/03/2008,233.5
01/04/2008,211.5
01/05/2008,182
01/06/2008,197.5
01/07/2008,192.25
01/08/2008,186
01/09/2008,161.25
01/10/2008,144
01/11/2008,134.25
01/12/2008,137.25
01/01/2009,151
01/02/2009,138
01/03/2009,132
01/04/2009,142
01/05/2009,151.5
01/06/2009,134
01/07/2009,127.5
01/08/2009,127
01/09/2009,122.5
01/10/2009,126.75
01/11/2009,131.5
01/12/2009,131.25
01/01/2010,125.5
01/02/2010,122.25
01/03/2010,125.25
01/04/2010,132
01/05/2010,131.75
01/06/2010,136.5
01/07/2010,186
01/08/2010,227.75
01/09/2010,208
01/10/2010,225
01/11/2010,224
01/12/2010,252.5
01/01/2011,269
01/02/2011,257.5
01/03/2011,240
01/04/2011,244.5
01/05/2011,236
01/06/2011,185
01/07/2011,198.75
01/08/2011,211.25
01/09/2011,183.5
01/10/2011,187
01/11/2011,178.5
01/12/2011,202.5
01/01/2012,215.5
01/02/2012,213
01/03/2012,212.75
01/04/2012,216.5
01/05/2012,208
01/06/2012,229
01/07/2012,260
01/08/2012,263.75
01/09/2012,265.75
01/10/2012,265.25
01/11/2012,269.5
01/12/2012,250.25
01/01/2013,247.75
01/02/2013,248.25
01/03/2013,238.75
01/04/2013,252.25
01/05/2013,206
01/06/2013,193.75
01/07/2013,189.75
01/08/2013,187.25
01/09/2013,193.25
01/10/2013,204
01/11/2013,209.75
01/12/2013,209
01/01/2014,192.5
01/02/2014,201.25
01/03/2014,207.75
01/04/2014,215.25
01/05/2014,191.5
01/06/2014,185.75
01/07/2014,170.5
01/08/2014,174.25
01/09/2014,152.75
01/10/2014,172.25
01/11/2014,184.25
01/12/2014,200
01/01/2015,185.5
01/02/2015,187.5
01/03/2015,187.5
01/04/2015,178
01/05/2015,176
01/06/2015,201.25
01/07/2015,180.5
01/08/2015,160.25
01/09/2015,174.5
01/10/2015,180.75
01/11/2015,176.75
01/12/2015,173.5
01/01/2016,163.75
01/02/2016,147.25
01/03/2016,152.75
01/04/2016,151.5
01/05/2016,164.75
01/06/2016,155.75
01/07/2016,166
01/08/2016,154.75
01/09/2016,160.5
01/10/2016,165.75
01/11/2016,162
01/12/2016,168
01/01/2017,165.5
01/02/2017,172.25
01/03/2017,164.5
01/04/2017,168.25
01/05/2017,166.75
01/06/2017,176.5
01/07/2017,168.25
01/08/2017,155.75
01/09/2017,166
01/10/2017,162
01/11/2017,159.5
01/12/2017,159
01/01/2018,158.25
01/02/2018,166.75
01/03/2018,163.75
01/04/2018,168.25
01/05/2018,182.75
01/06/2018,178.5
01/07/2018,202.25
01/08/2018,204.75
01/09/2018,201.5
01/10/2018,198.5
01/11/2018,201.25
01/12/2018,203.25
01/01/2019,204.25
01/02/2019,193.25
01/03/2019,185.75
01/04/2019,183.25
01/05/2019,185.25
01/06/2019,180.25
01/07/2019,174.75
01/08/2019,164.25
01/09/2019,174.75
01/10/2019,178
01/11/2019,185.5
01/12/2019,188.75
01/01/2020,191
01/02/2020,187.5
01/03/2020,196.25
01/04/2020,195.75
01/05/2020,188.25
01/06/2020,180.5
01/07/2020,182.75
01/08/2020,187.75
01/09/2020,197.75
01/10/2020,205.25
01/11/2020,210.25
01/12/2020,213.25
01/01/2021,227
01/02/2021,245
01/03/2021,215.5
01/04/2021,257.75
01/05/2021,213.75
01/06/2021,209.25
01/07/2021,223.25
01/08/2021,248.75
01/09/2021,258
01/10/2021,283.25
01/11/2021,279.5
01/12/2021,278.5
01/01/2022,266
01/02/2022,322.5
01/03/2022,369.5
01/04/2022,400.75
01/05/2022,392.25
01/06/2022,350.25
01/07/2022,343
01/08/2022,332.25
01/09/2022,356.75
01/10/2022,352.25
01/11/2022,326.5
01/12/2022,309.25
